X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,decay_0,decay_1,decay_2,W_0,W_1,W_2,J_0,J_1
0.67344,0.63936,0.7916,0.6748,0.16032,0.68568,-0.05496,0.35784,-0.13848,-0.06136,-0.71392,-0.4168,0.2710339020353809,0.3875952935149541,0.48881427093122004,0.211919479265458,-0.6340125274780362,0.09421995423511635,0.47291242610913714,1.6106896294513713
0.74984,0.54856,0.8792,0.73736,0.74744,0.36864,-0.06408,-0.60272,-0.09928,-0.06632,0.29752,0.80088,0.1535156971069351,0.2703575329053357,0.36417072785313775,0.14124811282486746,1.0575032774994626,0.11735325369954407,-1.5689490179994854,-0.5872483785843473
0.60192,0.55416,0.0144,0.60504,0.43232,-0.62736,0.5448,0.46552,-0.7396,0.54752,0.56968,-0.40064,0.366725021700175,0.40624143131206003,0.25157682707303086,1.938701326119275,-0.8715556303679526,-0.9178555116540015,1.2764959881012417,-0.23455052099110277
0.66704,0.126,0.52168,0.67416,0.34256,0.1092,0.4636,0.81016,0.55912,0.46544,0.74408,0.74768,0.34825448561733824,0.24423997450658913,0.25525184490642633,-1.016233334463853,-1.765819186683433,-0.7630242860386276,-0.7682036309177417,-0.6688156899461751
0.62752,0.32464,0.62256,0.6216,0.49256,0.52216,0.1356,-0.47936,-0.00064,0.1224,-0.29904,-0.34792,0.5989051750672305,0.7033228779547269,0.5653996016697472,0.01636485030272002,1.2329902128532761,-0.2566361725665005,0.7333064974596293,0.9297890448084036
0.63736,0.70136,0.79632,0.63928,0.66864,0.58656,-0.42088,-0.04408,0.1936,-0.40784,0.22048,0.55744,0.2555209753783898,0.4338146030122648,0.34367180659085705,-0.2893032046949135,0.08894577811272844,0.7090439077568177,-0.6599930707832469,-1.126834743225954
0.66808,-0.38448,0.23856,0.66088,0.16856,0.5412,0.49992,-0.59456,-0.59568,0.4944,0.68464,-0.3368,0.5479014789439438,0.427448516113344,0.23230193969188784,1.49995281576087,2.690987678877382,-0.8016338609550346,-0.7914503056504878,-0.8543102488169808
0.6116,0.65984,0.79136,0.6112,0.69096,0.45784,0.2664,0.3928,-0.142,0.27328,0.31304,-0.65088,0.2807608492743913,0.3364993688494748,0.512385212024148,0.22230122569212815,-0.6706077247531135,-0.5395952129377485,0.9762214736901916,0.015090322407750137
0.30184,0.60544,0.7676,0.29928,0.28288,0.05304,-0.58792,0.26824,-0.00632,-0.58592,-0.60608,-0.76232,0.3314804740814715,0.5216631543676746,0.5140798563474976,0.020127288700713654,-0.5154922361942122,1.370199345189063,1.8462981318803402,0.03803545324338289
0.58144,0.63608,0.63032,0.5828,0.43216,0.59712,-0.3612,-0.14528,0.09408,-0.35064,-0.49408,0.25896,0.5515978479936026,0.5384404968596441,0.4724285604297207,-0.17904316642500676,0.2846755218209626,0.687990610057762,-0.32184062368642535,0.3768822551258791
0.1856,0.5892,0.72736,0.2016,0.5424,0.64456,0.72424,0.28112,-0.13648,0.72256,0.3556,-0.33816,0.39052392151470966,0.5326332295370542,0.36586111051298037,0.24165902728908087,-0.5490432908440672,-1.6453695838573574,0.3517350597918625,0.9093619036985033
0.63968,0.3568,0.33832,0.64152,0.3996,0.64088,-0.432,0.75464,-0.54256,-0.45088,0.72664,0.01952,0.5512786744550577,0.22261090249192775,0.31273682783631906,1.2510130679208575,-1.4206088447672793,0.7618313814256676,-1.2914047036478624,-2.0843125957919875
0.68728,0.58168,0.7404,0.69048,0.54288,0.66616,-0.24224,0.25064,-0.03248,-0.24088,-0.31736,-0.3472,0.3517398109221138,0.564918775959032,0.4012294788842717,0.05967270084959129,-0.5243969471848534,0.39916478072941175,0.5359419944531721,0.24252524673288192
0.7372,-0.07656,0.33288,0.73432,0.81024,0.39472,-0.15744,-0.8156,0.51544,-0.14872,-0.12384,0.46736,0.6198354792670016,0.2442651279555428,0.36062307876300714,-1.2503582134124893,2.08889304297174,0.25096011325453565,0.15892426378435595,-0.04436166437297194
