X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,X_0_6,X_0_7,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,Y_0_6,Y_0_7,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
0.64536,0.0572,0.60288,0.74072,0.71312,-0.28416,-0.39328,0.36992,-0.29304,-0.7572,0.1224,-0.14696,0.71,-0.70016,-0.4644,-0.66576,0.3505144051485692,0.6079053850132325,0.3428299677469281,0.4277391732379662,0.2476199110829323,-0.2578222901450691,1.8703442419563487,0.5273908145386779,1.074261381112517,0.9575290895147416,0.5804077728702707
0.6624,0.50408,0.64488,0.54712,0.69208,0.28568,0.55552,0.77784,-0.21984,0.3816,-0.42256,-0.57336,0.6868,-0.5652,-0.54024,-0.13872,0.3037143747729948,0.3215984730227145,0.5630509811936202,0.4598120071773708,1.008585566857442,0.7439472422384374,-0.8004367816062588,0.3948144470017012,-0.7774945190312242,1.757735129882196,2.182946915200123
0.49832,0.76872,0.75096,0.2764,0.83648,0.83768,0.75656,0.23184,0.66976,-0.42504,-0.18144,0.64928,0.84016,0.2628,-0.11448,0.67208,0.439591421330764,0.3221001565096414,0.1589828173198458,0.224812158191306,-1.4592595194364422,0.288996447464956,0.6180369489436007,-1.1700842043039763,-0.1059082027009423,-0.4159746142423215,-0.997568250148126
0.70392,0.59152,0.67752,0.69648,0.70632,0.792,0.63056,0.60256,0.11496,-0.51472,-0.0156,0.16712,0.71752,0.08248,-0.23608,-0.3828,0.4213289575075035,0.4975829490577937,0.2943833624490803,0.4281252906359749,-0.2978140093545827,0.0374202308083201,0.8882869204689844,-0.184133157334961,1.0285507579936288,-0.4270477828856747,-1.0125274921683791
0.324,0.55888,0.37048,0.71032,0.58832,0.49144,0.37504,0.59816,-0.47392,0.054,-0.69384,-0.29672,0.59096,0.28392,0.69616,-0.5032,0.322515837640127,0.2870309617458211,0.7083313597301908,0.6618973475763874,0.5064992703317975,1.341192758258487,-0.1069486144855629,1.2125942605702875,0.3609826363926513,-1.2278947330243952,-0.5394507673813697
0.57576,0.4948,-0.00888,0.9332,0.59096,0.61864,0.53064,0.87696,0.1284,0.46616,-0.61912,0.20888,0.58728,0.30376,0.33448,0.37864,0.059813581032433,0.5957137868203488,0.4670835790713947,0.6646590789550245,-0.2772779015576345,1.9705404915967388,-0.947730379371866,-0.264301063428043,-0.2161214060814119,0.2518212322019759,0.36722153344194
0.84504,0.7652,0.78696,0.756,0.85448,0.89416,0.75688,0.05064,-0.0164,0.46112,-0.19976,-0.21352,0.8432,-0.08608,-0.28392,0.77192,0.3143532179631901,0.268146567003628,0.1375556031861517,0.205793782328811,0.3296186383668692,0.3017547363089556,-0.6642315657417083,0.0188914199053632,-2.226208104438143,1.106813453944732,0.7653456407461824
0.71072,0.38192,0.55832,0.79392,0.738,-0.45872,0.61936,0.7532,0.20928,0.53544,-0.3544,0.19168,0.7344,0.48128,0.23272,0.31856,0.2441177290728209,0.5204880214569825,0.5081783735183389,0.3882900459962007,-0.3016677905034775,0.6944563281593986,-1.2017567943391765,-0.3538107132425792,-0.1910443301306381,0.7363896705711501,-1.704974884287943
0.6196,0.56344,0.5816,0.41632,0.76592,0.5872,0.58456,0.38656,-0.44528,-0.4016,0.31416,-0.67888,0.76624,-0.364,0.32224,-0.69584,0.2861147155939785,0.5165714089335908,0.4585509257051216,0.3356496576478456,1.2894827306678447,-0.6060323012001039,0.7879148282168003,0.7676887849750275,0.0420847573045323,-1.4218198480936026,-0.1074944181776516
0.8128,0.82936,0.63384,0.5856,0.82072,-0.0164,0.55976,0.5604,0.03984,-0.17328,0.1444,0.05632,0.81488,-0.84184,-0.32328,0.18392,0.669643462660285,0.5446569696066714,0.2130917891558649,0.2551761019123261,-0.1272420715271433,-0.2806417145212992,0.2638094745548296,-0.0634937632323519,-0.2677897113616233,0.3947486977499363,1.7030039905971637
0.788,0.73224,0.6476,0.59408,0.79272,0.66432,0.85352,-0.12392,0.00872,-0.25336,0.65072,-0.15824,0.79656,-0.40424,-0.34648,-0.61176,0.5816948362947817,0.1072569990003418,0.3209937990000422,0.2861648505808966,0.3423084468129048,-0.9736550387520996,0.4051467347248818,-0.0167019843296478,1.876094488913361,0.067745105524545,0.2838791373756963
0.6324,0.66752,0.656,0.57296,0.68024,0.51144,0.56136,0.62432,0.2628,0.01336,-0.52672,0.39824,0.68984,-0.4168,-0.62032,0.30536,0.4544406431803149,0.2230337684541121,0.5049258632418835,0.4777736125661657,-0.7575556629942589,0.8337498080439355,-0.018651750404799,-0.4862441831522444,0.1877428755525984,1.060299465139534,0.85962942482723
0.41096,0.71848,0.53912,-0.45584,0.67648,0.56912,0.30904,-0.6988,-0.52928,-0.1372,0.11576,-0.51784,0.67536,-0.47696,-0.45528,-0.01744,0.451327117485515,0.747356409544716,0.3886228168009582,0.4904072219064192,2.893959652998129,-0.2629127627872332,0.231447828079426,1.1368560930926226,0.9922047229087324,0.984597743394214,0.6294623189628651
0.6852,0.658,0.78416,0.59696,0.70808,0.62816,0.79152,0.66168,-0.17144,0.16592,-0.08592,-0.3,0.70728,0.26888,0.09024,-0.13808,0.4989539193423037,0.2893796384045888,0.4832468824729718,0.4349949526417705,0.5858258421312421,0.1403503623508724,-0.3132286320703346,0.2935819851170305,-0.3238008643556093,0.1542782350212629,-0.1902527960249655
0.09168,0.68232,0.05888,0.47136,0.70592,0.59504,0.39648,0.76456,0.70856,0.09984,-0.55144,-0.6524,0.70232,0.3728,-0.38944,-0.2576,0.2667529331928914,0.7290204140474715,0.4580057860379807,0.4362693640996847,1.184084065245946,1.8498942769685545,-0.1601709736197406,-1.8009149271949092,-0.775284727401469,1.1420982166888214,-0.5328931408808821
0.47032,0.45488,0.6184,0.63632,0.80296,0.62568,0.60136,0.52968,0.64592,-0.43832,0.35184,-0.2712,0.80408,0.07496,0.39272,-0.45936,0.4492510714874151,0.4219890236111722,0.5680659116190008,0.2774791922242278,0.5035554485218513,-0.6522177608763501,0.9573481130921004,-1.169490096879196,0.3924278735658981,-1.6712185529116108,-1.138257226176422
