X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,guessed_decay_0,guessed_decay_1,guessed_W_0,guessed_W_1,guessed_J_0
0.21484375,0.1953125,0.21484375,0.1953125,-0.064453125,-0.02734375,-0.064453125,-0.02734375,3.0254397194900817,3.1671847991035964,0.2491141640285252,1.0204425950530827,-0.13931000912142094,2.5603802012609056,2.3028218863876435,-1.2574029525746069,-0.9694550635139163,3.1287065027221987
-0.09375,0.103515625,-0.09375,0.103515625,-0.189453125,-0.1953125,-0.189453125,-0.1953125,2.8409708752886766,3.081874971366476,1.245671906558262,2.9542532949619744,2.3812732492561293,2.8725033165432072,2.9619555492585916,1.4043608072190845,3.3129314784569615,1.5111559066855962
0.025390625,0.220703125,0.025390625,0.220703125,-0.21875,-0.037109375,-0.21875,-0.037109375,3.3132464170522677,2.9782219293294774,0.1808240231836598,2.5442570977914802,-0.1382530046114082,1.0406721144825086,1.0728248611525004,-2.1027776927055744,0.47834197596737665,4.739724703745184
0.09375,0.044921875,0.09375,0.044921875,0.169921875,0.189453125,0.169921875,0.189453125,3.133024910363357,3.0335520951478285,-1.6088980004166877,-1.157959175039118,-1.5799946157332898,3.3095944681131253,3.3163901649704184,-2.6885507709016254,-2.1235148549315195,-0.00011427283404579945
0.240234375,0.244140625,0.240234375,0.244140625,0.017578125,-0.07421875,0.017578125,-0.07421875,2.8103785259864242,2.941079398940884,0.4615388894324894,-0.1673647860437966,0.06753629492402094,2.6007910673315493,2.716131834173761,-0.12250793859983772,-0.8729617198232037,1.431154604102543
-0.064453125,0.07421875,-0.064453125,0.07421875,0.201171875,0.173828125,0.201171875,0.173828125,3.3541188970838975,2.9413200029405338,-2.1195444125441383,-3.2731026684509055,0.16909931117666097,3.2336961407736267,3.0112575760155877,-1.715513438916637,-3.137353118424476,-1.243369492837519
-0.111328125,0.154296875,-0.111328125,0.154296875,-0.197265625,0.166015625,-0.197265625,0.166015625,2.7010522398084675,2.8799729570619736,-1.4378782737135032,3.7660266722581732,0.8898379899236736,2.974236490012233,2.975467569847935,-1.6557723083381788,4.15237909871354,0.00013270155745974535
0.037109375,0.0625,0.037109375,0.0625,-0.0234375,-0.11328125,-0.0234375,-0.11328125,2.8612611620076294,2.9481782113057093,-0.18841898687418848,0.026140519009723223,4.204142369727377,0.9562480724181388,3.232062630074089,-0.5002964751565918,-0.9212003767295444,5.443053401144312
0.23046875,0.048828125,0.23046875,0.048828125,-0.181640625,-0.208984375,-0.181640625,-0.208984375,3.1106465061147026,2.8249533985393285,2.7186534577207255,1.961648282508208,-0.6452915527256383,3.083165660219941,2.4547417218067746,2.634998223066425,1.3192794001716601,-4.360583974724083e-05
0.208984375,-0.0078125,0.208984375,-0.0078125,0.10546875,0.19921875,0.10546875,0.19921875,2.8719992938794507,2.9171441374922416,-4.590702665686259,-2.5302575236775753,2.705865860443401,1.5249687802790968,1.1809203042548106,-0.6404765581704764,1.4014601936502251,-4.539452270088025
0.109375,0.181640625,0.109375,0.181640625,0.169921875,-0.12890625,0.169921875,-0.12890625,2.953100042555142,2.952946349853104,1.516293232333299,-1.5429317810360554,-0.924727514823611,3.0077295782896556,3.2033287712075924,1.250659317847817,-2.022922500060388,0.00011254273054009178
0.0703125,0.076171875,0.0703125,0.076171875,-0.197265625,0.1015625,-0.197265625,0.1015625,2.6849580106838435,2.6340612256315366,-2.8229720712087807,0.7914260213946447,3.581839091985853,2.822978497528021,1.821005065839733,-3.9750497190006895,0.45211283169191163,4.093826947194814
0.03125,0.1328125,0.03125,0.1328125,-0.208984375,0.201171875,-0.208984375,0.201171875,3.0232662275414577,2.855886964566793,-2.5758017955002894,1.9126727030640687,0.913935222508401,2.0916122736144684,2.355797656306896,-3.5880510828300416,1.1582688963708003,3.259518945036175
0.22265625,0.109375,0.22265625,0.109375,-0.0625,-0.16015625,-0.0625,-0.16015625,3.4366084722756924,2.902758016951422,1.4091729034693434,0.40590302761155783,0.4377167256772849,2.507766955385072,2.155928719188528,0.26812454835139604,-1.1376554818195117,3.2949282400379487
0.126953125,-0.158203125,0.126953125,-0.158203125,-0.11328125,0.15625,-0.11328125,0.15625,3.1108399799770763,2.8273398132158096,-5.550434172774121,0.7560096799893946,1.9768897436825381,2.392634907195203,2.9279919826913945,-3.2208664250140364,2.971905110830758,-2.9774864350035246
0.1796875,-0.11328125,0.1796875,-0.11328125,0.09375,-0.197265625,0.09375,-0.197265625,2.757756122222029,3.0599115598590934,3.334467014370002,-1.7336218168643194,0.7361417287839394,2.219482350019556,2.450549803879631,2.591534808262958,-2.544470777877053,3.237152610753249
0.134765625,0.205078125,0.134765625,0.205078125,0.01171875,0.029296875,0.01171875,0.029296875,2.941286263103314,3.184569954936089,0.5732146454624906,0.49090796901529804,-1.57550694367277,2.463389634272435,3.315781359486349,-1.8486931415647199,-1.7440975985210283,3.125508505965767
