X_0_0,X_0_1,X_0_2,X_0_3,X_0_4,X_0_5,Y_0_0,Y_0_1,Y_0_2,Y_0_3,Y_0_4,Y_0_5,decay_0,decay_1,decay_2,W_0,W_1,W_2,J_0,J_1
0.508,0.7224,0.6344,0.5272,0.58,0.3232,-0.4936,-0.3616,0.3048,-0.4504,-0.5656,0.64,0.4313611798245474,0.2925668934277584,0.4504602160866849,-0.5410497481918255,0.5759655464674993,0.9161106785985832,-0.8920011439400244,0.015613509944354
0.5,0.4072,0.892,0.488,0.6336,0.5512,-0.4416,0.5216,0.0352,-0.4696,0.2112,-0.6704,0.1430361468653199,0.5022213644971072,0.5052667971477919,-0.0516846071830915,-1.0842367059086129,0.9262807758444878,1.1811219499371677,-1.2652892778213374
-0.2504,0.5568,0.72,-0.2512,0.2064,0.6848,-0.5088,0.28,-0.1392,-0.4888,-0.5864,-0.1408,0.403057645422064,0.5690516598195504,0.7933751111150381,0.2401428425995515,-0.579743760306046,2.547859595564165,0.0252008167471419,-0.9264989348895444
0.6608,0.6584,0.2192,0.66,0.7832,0.2024,0.4112,0.3936,-0.6904,0.416,0.0464,-0.7056,0.3947190536034914,0.3218405160329508,0.2749518392243782,1.5567219142731576,-0.6882179773948023,-0.7276820355137097,0.085105598800922,0.5952303584682075
0.6528,0.4632,0.448,0.6688,0.7752,0.036,0.3952,-0.6192,-0.416,0.4024,0.1648,-0.636,0.5832027847177848,0.2762027175944843,0.30814650081237,0.9224339901814672,1.1415485479830056,-0.6698002986045637,0.921759535505846,0.4010777804146291
0.0528,0.7648,0.8352,0.032,-0.132,0.4,-0.6944,0.1928,0.26,-0.6992,-0.7272,0.7544,0.1960094799668116,0.3404296947017609,0.4796798091999386,-0.3806871376950576,-0.2866095941191118,1.902825937907684,-0.9986445515347816,0.2998133194333657
0.6608,0.3656,0.308,0.6424,0.6104,0.2896,0.1664,0.6912,0.4784,0.1808,0.4736,0.4952,0.7296674220415948,0.3395493562782431,0.5128315168631437,-1.2931857845365258,-1.371116140936021,-0.2710502286304113,-0.02518138576558,-0.5319617427716299
0.4696,-0.1104,0.272,0.4656,0.6544,-0.7896,-0.604,-0.6712,-0.8224,-0.636,-0.2592,-0.2464,0.2058724154407938,0.4765546544791234,0.3365002464628609,1.5686608806159177,2.14324604145079,1.1602276591294916,1.9722334487646147,-0.7122071120783459
0.0088,0.8704,0.5024,-0.044,0.8808,0.6248,0.5832,0.1336,-0.3984,0.568,0.0464,0.0272,0.5628926146500131,0.1761922182970009,0.7003562272356847,0.8141870639182577,-0.1662614756731499,-2.025073168427568,-0.8936091508559656,1.9687273871763435
0.4912,-0.3,0.4288,0.5024,0.676,0.652,0.5424,-0.7344,0.5776,0.5272,0.3384,0.28,0.395794368643143,0.3039532136935227,0.4099431699216659,-1.1715318645478985,2.4502282442548866,-1.0547640339660225,0.7090873837718414,0.4688308942628124
